;code;nom;Description;unité;Emballage;Dévise;P. Revient en devise;price;Prix de Vente;Genre;Marque;Fournisseur
;3145891166507    ;COCO MSELLE INTENSE 50ML       ;;PCE;;$US;0,00;199;587 050,00;FEMME            ;;
;3145891166606    ;COCO MSLLE INTENSE 100ML       ;;PCE;;$US;212,00;253;746 350,00;FEMME            ;;
;3145891136609    ;COCO NOIR CHANEL 100ML         ;;PCE;;$US;0,00;248;731 600,00;FEMME            ;;
;3145891136203    ;COCO NOIR CHANEL 35ML          ;;PCE;;$US;0,00;136;401 200,00;FEMME            ;;
;3145891136500    ;COCO NOIR CHANEL 50ML          ;;PCE;;$US;0,00;164;483 800,00;FEMME            ;;
;3360375004049    ;CODE 30ML                      ;;PCE;;$US;0,00;124;365 800,00;FEMME            ;;
;3360375004056    ;CODE 50ML                      ;;PCE;;$US;0,00;183;539 850,00;FEMME            ;;
;3360375010972    ;CODE 75ML                      ;;PCE;;$US;0,00;170;501 500,00;FEMME            ;;
;3614272544420    ;CODE ABSOLU EDP 30ML           ;;PCE;;$US;121,00;121;356 950,00;HOMME            ;;
;3614272407503    ;CODE ABSOLU PARFUM 15ML        ;;PCE;;$US;0,00;10;29 500,00;HOMME            ;;
;3614270692413    ;CODE COLONIA EDT 75ML          ;;PCE;;$US;138,00;149;439 550,00;HOMME            ;;
;3614270581656    ;CODE PROFUNDO 60ML             ;;PCE;;$US;0,00;140;413 000,00;HOMME            ;;
;3701002702349;COEUR BATTANT 100ML            ;;PCE;;$US;0,00;370;1 091 500,00;MIXTE            ;;
;3351500014521    ;COFFRET AZZARO 50ML            ;;PCE;;$US;0,00;135;398 250,00;HOMME            ;;
;3351500014637    ;COFFRET AZZARO POUR HOMME 100M ;;PCE;;$US;0,00;150;442 500,00;HOMME            ;;
;3432240502599    ;COFFRET CARAT 50ML             ;;PCE;;$US;0,00;150;442 500,00;FEMME            ;;
;3473311968166;COFFRET EAU DU SOIR 100ML      ;;PCE;;$US;0,00;265;781 750,00;FEMME            ;;
;3274872393356    ;COFFRET GENTLEMAN 100ML        ;;PCE;;$US;0,00;150;442 500,00;HOMME            ;;
;3348901474351    ;COFFRET IN JOY 50ML            ;;PCE;;$US;0,00;150;442 500,00;FEMME            ;;
;3473311985064;COFFRET IZIA 100ML             ;;PCE;;$US;0,00;250;737 500,00;FEMME            ;;
;3348901417662    ;COFFRET JADORE 50ML            ;;PCE;;$US;0,00;150;442 500,00;FEMME            ;;
;3614228739856    ;COFFRET MEMOIRE D UNE ODEUR 60 ;;PCE;;$US;0,00;160;472 000,00;FEMME            ;;
;3137370346838    ;COFFRET NINA 50ML              ;;PCE;;$US;0,00;135;398 250,00;FEMME            ;;
;3614272834347    ;COFFRET NOA 50ML               ;;PCE;;$US;0,00;130;383 500,00;FEMME            ;;
;8719179428448    ;COFFRET NOIR 50ML              ;;PCE;;$US;0,00;109;321 550,00;FEMME            ;;
;8411114057316    ;COFFRET PEPE JEANS 80ML        ;;PCE;;$US;0,00;103;303 850,00;FEMME            ;;
;8719179418685    ;COFFRET PINK 50ML              ;;PCE;;$US;0,00;109;321 550,00;FEMME            ;;
;3423478657953    ;COFFRET PURE NECTAR 50ML       ;;PCE;;$US;0,00;150;442 500,00;FEMME            ;;
;8435415033473    ;COFFRET SCANDAL NEW 50ML       ;;PCE;;$US;150,00;150;442 500,00;FEMME            ;;
;8719179418661    ;COFFRET SHEER 50ML             ;;PCE;;$US;0,00;109;321 550,00;FEMME            ;;
;8719179418784    ;COFFRET VELVET 50ML            ;;PCE;;$US;0,00;109;321 550,00;FEMME            ;;
;20220001999996   ;COLLECTION SUMMER EDT 100ML    ;;PCE;;$US;0,00;35;103 250,00;HOMME            ;;
;3348900986411    ;COLOGNE ROYALE 125ML           ;;PCE;;$US;0,00;330;973 500,00;MIXTE            ;;
;8028713250736;COLONIA COF EDP 100ML          ;;PCE;;$US;0,00;220;649 000,00;MIXTE            ;;
;8028713250811;COLONIA COFFRET;;PCE;;$US;0,00;250;737 500,00;MIXTE            ;ACQUA DI PARMA;
;8028713250774;COLONIA COFFRET NOEL ;;PCE;;$US;0,00;230;678 500,00;MIXTE            ;ACQUA DI PARMA;
;8028713220678;COLONIA ESSENZA COFFRET NOEL ;;PCE;;$US;0,00;230;678 500,00;MIXTE            ;ACQUA DI PARMA;
;8028713220036;COLONIA ESSENZA EDP 180ML      ;;PCE;;$US;0,00;250;737 500,00;MIXTE            ;;
;3614272943384    ;COMFORTING C.A EDT 100 ML      ;;PCE;;$US;0,00;229;675 550,00;MIXTE            ;;
;8057717141764;CONFETTO EDP 100ML;;PCE;;$US;0,00;330;973 500,00;MIXTE            ;PRO FUMUM ROMA;
;3701002700017;CONTRE MOI 100ML               ;;PCE;;$US;0,00;370;1 091 500,00;FEMME            ;;
;3701002700086    ;CONTRE MOI 200ML               ;;PCE;;$US;0,00;440;1 298 000,00;HOMME            ;;
;3145891222906;COROMANDEL EDP 200ML;;PCE;;$US;0,00;510;1 504 500,00;FEMME            ;CHANEL;
;3145891220902;COROMONDEL EDP 75ML;;PCE;;$US;0,00;280;826 000,00;MIXTE            ;CHANEL;
1;5056245000942;COUSIN MATTHEW EDP 75ML        ;;PCE;;$US;0,00;400;1 180 000,00;HOMME            ;;
;3614272661240    ;CREAMY ND COZY C. EDT 100ML    ;;PCE;;$US;0,00;229;675 550,00;MIXTE            ;;
;3508440251749;CREED ABSOLU AVENTUS EDP 75ML ;;PCE;;$US;0,00;550;1 622 500,00;HOMME            ;CREED;
;3508441104662;CREED AVENTUS FOR HER 75ML     ;;PCE;;$US;560,00;350;1 032 500,00;FEMME            ;;
;3508441001107;CREED ORIGINAL SANTAL 100ML;;PCE;;$US;0,00;330;973 500,00;MIXTE            ;CREED;
